year,week_of_year,borough,avg_ridership,total_ridership,peak_period,period,week_start
2025,13,Queens,67.63594707305772,1313693.0,Morning Peak,Post Policy,2025-03-24
2025,14,Bronx,30.451497933884298,589541.0,Morning Peak,Post Policy,2025-03-31
2025,14,Brooklyn,41.918131190943534,1836601.0,Morning Peak,Post Policy,2025-03-31
2025,14,Manhattan,76.85852872215709,2622413.0,Morning Peak,Post Policy,2025-03-31
2025,14,Queens,67.41791122715405,1291053.0,Morning Peak,Post Policy,2025-03-31
2025,15,Bronx,31.184707815548936,607291.0,Morning Peak,Post Policy,2025-04-07
2025,15,Brooklyn,42.08909452602874,1883024.0,Morning Peak,Post Policy,2025-04-07
2025,15,Manhattan,79.23135371179039,2721597.0,Morning Peak,Post Policy,2025-04-07
2025,15,Queens,67.69525566144073,1321276.0,Morning Peak,Post Policy,2025-04-07
2025,16,Bronx,24.80265423969203,489654.0,Morning Peak,Post Policy,2025-04-14
2025,16,Brooklyn,35.13011337868481,1549238.0,Morning Peak,Post Policy,2025-04-14
2025,16,Manhattan,72.56729889973747,2460104.0,Morning Peak,Post Policy,2025-04-14
2025,16,Queens,58.75682056663169,1119905.0,Morning Peak,Post Policy,2025-04-14
